,merchant,category,amt,job,is_fraud,trans_hour,age,location
94,Kerluke-Abshire,shopping_net,1084.55,Clinical cytogeneticist,1,22,54,"Vacaville,CA"
95,"""Nicolas, Hills and McGlynn""",entertainment,424.38,Electronics engineer,1,22,35,"Centerview,MO"
96,Abbott-Rogahn,entertainment,474.24,Electronics engineer,1,23,35,"Centerview,MO"
97,Daugherty LLC,kids_pets,20.21,Electronics engineer,1,23,35,"Centerview,MO"
98,Torp-Lemke,misc_pos,8.57,Clinical cytogeneticist,1,23,54,"Vacaville,CA"
99,Bernhard Inc,gas_transport,9.17,Clinical cytogeneticist,1,1,54,"Vacaville,CA"
100,Doyle Lt,grocery_pos,259.96,Clinical cytogeneticist,1,3,54,"Vacaville,CA"
101,"""Hahn, Bahringer and McLaughlin""",personal_care,19.83,Clinical cytogeneticist,1,23,54,"Vacaville,CA"
102,Koepp-Parke,grocery_pos,304.08,"""Engineer, site""",1,6,63,"La Grande,OR"
103,Medhurst PLC,shopping_net,1105.42,"""Engineer, site""",1,16,63,"La Grande,OR"
104,Pacocha-O'Reilly,grocery_pos,257.63,"""Engineer, site""",1,22,63,"La Grande,OR"
105,Rempel Inc,shopping_net,942.0,"""Engineer, site""",1,22,63,"La Grande,OR"
106,"""Rodriguez, Yost and Jenkins""",misc_net,768.0,"""Engineer, site""",1,23,63,"La Grande,OR"
107,"""Schumm, Bauch and Ondrick""",grocery_pos,309.02,Armed forces training and education officer,1,23,65,"Port Costa,CA"
108,Kessler Group,travel,9.9,Tourist information centre manager,1,23,49,"Meadville,MO"
109,"""Labadie, Treutel and Bode""",shopping_net,935.13,"""Engineer, site""",1,23,63,"La Grande,OR"
110,Kerluke-Abshire,shopping_net,1096.03,"""Engineer, site""",1,23,63,"La Grande,OR"
111,Ruecker Group,misc_net,719.82,Tourist information centre manager,1,23,49,"Meadville,MO"
112,"""Zieme, Bode and Dooley""",gas_transport,6.79,Tourist information centre manager,1,0,49,"Meadville,MO"
113,Schamberger-O'Keefe,grocery_pos,290.65,Tourist information centre manager,1,0,49,"Meadville,MO"
114,Conroy-Cruickshank,gas_transport,9.91,"""Engineer, site""",1,1,63,"La Grande,OR"
115,Bailey-Mo,grocery_pos,311.48,Armed forces training and education officer,1,3,65,"Port Costa,CA"
116,Huels-Hahn,gas_transport,9.13,Tourist information centre manager,1,5,49,"Meadville,MO"
117,Kiehn-Emmerich,grocery_pos,257.47,"""Engineer, site""",1,7,63,"La Grande,OR"
118,"""Schmeler, Bashirian and Price""",shopping_net,880.19,Armed forces training and education officer,1,13,65,"Port Costa,CA"
119,Bednar Group,misc_net,696.29,Tourist information centre manager,1,22,49,"Meadville,MO"
120,Conroy Lt,shopping_pos,957.09,"""Engineer, site""",1,22,63,"La Grande,OR"
121,"""Towne, Greenholt and Koepp""",shopping_net,1016.26,"""Engineer, site""",1,23,63,"La Grande,OR"
122,Padberg-Welch,grocery_pos,289.74,Tourist information centre manager,1,23,49,"Meadville,MO"
123,Crooks and Sons,personal_care,45.24,Armed forces training and education officer,1,23,65,"Port Costa,CA"
124,Gleason-Macejkovic,shopping_net,900.06,Tourist information centre manager,1,23,49,"Meadville,MO"
125,"""Little, Gutmann and Lynch""",shopping_net,1140.72,"""Engineer, site""",1,23,63,"La Grande,OR"
126,Zemlak Group,misc_net,786.4,Armed forces training and education officer,1,23,65,"Port Costa,CA"
127,Kutch and Sons,grocery_pos,289.12,"""Administrator, local government""",1,1,51,"Alva,WY"
128,Vandervort-Funk,grocery_pos,325.35,"""Administrator, local government""",1,2,51,"Alva,WY"
129,Pacocha-O'Reilly,grocery_pos,280.64,"""Administrator, local government""",1,3,51,"Alva,WY"
130,"""Jones, Sawayn and Romague""",misc_net,828.73,"""Administrator, local government""",1,22,51,"Alva,WY"
131,Hills-Witting,shopping_net,853.8,"""Administrator, local government""",1,22,51,"Alva,WY"
132,Kilback LLC,grocery_pos,295.85,"""Administrator, local government""",1,0,51,"Alva,WY"
133,Bogisich Inc,grocery_pos,348.01,Systems analyst,1,1,59,"Lowell,OR"
134,"""Adams, Kovacek and Kuhlman""",grocery_net,16.73,Systems analyst,1,2,59,"Lowell,OR"
135,Padberg-Welch,grocery_pos,309.35,Systems analyst,1,10,59,"Lowell,OR"
136,Ernser-Lynch,food_dining,123.61,"""Administrator, local government""",1,16,51,"Alva,WY"
137,"""Stehr, Jewess and Schimmel""",misc_net,763.2,Systems analyst,1,18,59,"Lowell,OR"
138,Schmitt Lt,misc_net,935.83,"""Administrator, local government""",1,22,51,"Alva,WY"
139,Pouros-Conroy,shopping_pos,912.51,"""Administrator, local government""",1,22,51,"Alva,WY"
140,Schuppe LLC,entertainment,615.49,Systems analyst,1,22,59,"Lowell,OR"
141,Schmidt and Sons,shopping_net,1073.84,Systems analyst,1,23,59,"Lowell,OR"
142,Ankunding LLC,shopping_net,920.07,Systems analyst,1,23,59,"Lowell,OR"
143,Schmitt Lt,misc_net,803.95,Systems analyst,1,23,59,"Lowell,OR"
144,"""Osinski, Ledner and Leuschke""",grocery_pos,362.56,Systems analyst,1,23,59,"Lowell,OR"
145,Denesik and Sons,shopping_pos,787.51,Systems analyst,1,23,59,"Lowell,OR"
146,Kilback LLC,grocery_pos,297.37,Systems analyst,1,0,59,"Lowell,OR"
147,Miller-Hauck,grocery_pos,348.36,Systems analyst,1,2,59,"Lowell,OR"
148,Bailey-Mo,grocery_pos,357.5,Systems analyst,1,2,59,"Lowell,OR"
149,Morissette PLC,shopping_pos,833.74,Charity officer,1,21,57,"Albuquerque,NM"
150,Leffler-Goldne,personal_care,20.25,Charity officer,1,22,57,"Albuquerque,NM"
151,Bednar Group,misc_net,801.83,Charity officer,1,22,57,"Albuquerque,NM"
152,"""Welch, Rath and Koepp""",entertainment,695.53,Systems analyst,1,22,59,"Lowell,OR"
153,"""Zboncak, Rowe and Murazik""",shopping_net,1156.15,Charity officer,1,22,57,"Albuquerque,NM"
154,"""Ruecker, Beer and Collie""",shopping_net,995.63,Charity officer,1,22,57,"Albuquerque,NM"
155,Morissette PLC,shopping_pos,875.17,Charity officer,1,23,57,"Albuquerque,NM"
156,Kunze Inc,grocery_pos,321.17,Charity officer,1,23,57,"Albuquerque,NM"
157,Smith-Stokes,misc_pos,51.02,Systems analyst,1,23,59,"Lowell,OR"
158,Volkman Lt,misc_net,664.64,Charity officer,1,23,57,"Albuquerque,NM"
159,Miller-Hauck,grocery_pos,281.68,Charity officer,1,0,57,"Albuquerque,NM"
160,Mraz-Herzog,gas_transport,9.72,Charity officer,1,1,57,"Albuquerque,NM"
161,"""Schumm, Bauch and Ondrick""",grocery_pos,293.68,Charity officer,1,2,57,"Albuquerque,NM"
162,Donnelly PLC,misc_net,749.92,Charity officer,1,22,57,"Albuquerque,NM"
163,Turner and Sons,shopping_pos,871.27,Public relations account executive,1,22,60,"Lamy,NM"
164,"""Terry, Johns and Bins""",misc_pos,51.66,Public relations account executive,1,22,60,"Lamy,NM"
165,Stracke-Lemke,grocery_pos,340.18,Public relations account executive,1,12,60,"Lamy,NM"
166,Beier-Hyatt,shopping_pos,671.44,Public relations account executive,1,21,60,"Lamy,NM"
167,Bogisich-Homenick,misc_net,806.03,Public relations account executive,1,23,60,"Lamy,NM"
168,Vandervort-Funk,grocery_pos,298.7,Set designer,1,0,28,"Hubbell,NE"
169,"""Christiansen, Goyette and Schamberge""",gas_transport,10.44,Set designer,1,0,28,"Hubbell,NE"
170,Kunze Inc,grocery_pos,300.27,Set designer,1,1,28,"Hubbell,NE"
171,Wolf Inc,grocery_pos,299.49,Set designer,1,1,28,"Hubbell,NE"
172,Berge LLC,gas_transport,9.21,Set designer,1,2,28,"Hubbell,NE"
173,Kiehn-Emmerich,grocery_pos,285.81,Set designer,1,3,28,"Hubbell,NE"
174,Larkin Lt,kids_pets,20.27,Set designer,1,14,28,"Hubbell,NE"
175,Cormier LLC,shopping_net,1165.94,Set designer,1,22,28,"Hubbell,NE"
176,"""Langworth, Boehm and Gulgowski""",shopping_net,942.93,Set designer,1,22,28,"Hubbell,NE"
177,Boyer PLC,shopping_net,1078.92,Set designer,1,22,28,"Hubbell,NE"
178,"""Champlin, Rolfson and Connelly""",travel,9.15,Set designer,1,23,28,"Hubbell,NE"
179,"""Little, Gutmann and Lynch""",shopping_net,996.11,Set designer,1,23,28,"Hubbell,NE"
180,Schmitt Lt,misc_net,659.33,Set designer,1,23,28,"Hubbell,NE"
181,Block-Hauck,travel,9.89,Set designer,1,23,28,"Hubbell,NE"
182,Cormier LLC,shopping_net,956.7,Set designer,1,23,28,"Hubbell,NE"
183,Kunde-Sanfo,misc_net,741.78,Set designer,1,23,28,"Hubbell,NE"
184,Ortiz Group,grocery_net,10.54,Set designer,1,0,28,"Hubbell,NE"
185,"""Schultz, Simonis and Little""",grocery_pos,307.7,Set designer,1,1,28,"Hubbell,NE"
186,Goodwin-Nitzsche,grocery_pos,328.75,Set designer,1,1,28,"Hubbell,NE"
187,Marks Inc,gas_transport,13.17,Information systems manager,1,1,38,"Fort Washakie,WY"
188,Cummings LLC,gas_transport,11.74,Information systems manager,1,2,38,"Fort Washakie,WY"
189,Labadie LLC,personal_care,19.16,Information systems manager,1,23,38,"Fort Washakie,WY"
190,Barrows PLC,shopping_pos,830.06,Information systems manager,1,22,38,"Fort Washakie,WY"
191,"""Windler, Goodwin and Kovacek""",home,261.79,Information systems manager,1,22,38,"Fort Washakie,WY"
192,Douglas-White,entertainment,594.09,Information systems manager,1,23,38,"Fort Washakie,WY"
193,"""Turner, Ziemann and Lehne""",food_dining,130.08,Information systems manager,1,23,38,"Fort Washakie,WY"
194,Parker-Kunde,personal_care,20.41,Information systems manager,1,23,38,"Fort Washakie,WY"
195,Berge-Hills,kids_pets,19.23,Information systems manager,1,23,38,"Fort Washakie,WY"
196,"""Moore, Dibbert and Koepp""",misc_net,626.15,Occupational hygienist,1,22,64,"Saint Louis,MO"
197,Macejkovic-Lesch,shopping_pos,950.42,Occupational hygienist,1,23,64,"Saint Louis,MO"
198,Collier Inc,grocery_net,9.95,Occupational hygienist,1,0,64,"Saint Louis,MO"
199,Fisher-Schowalte,shopping_net,914.49,Occupational hygienist,1,16,64,"Saint Louis,MO"
200,Mohr-Baye,shopping_net,1209.7,Occupational hygienist,1,22,64,"Saint Louis,MO"
201,Ruecker-Mayert,kids_pets,18.69,Occupational hygienist,1,22,64,"Saint Louis,MO"
202,Bailey-Mo,grocery_pos,292.07,Occupational hygienist,1,23,64,"Saint Louis,MO"
203,McGlynn-Heathcote,misc_net,733.72,Occupational hygienist,1,23,64,"Saint Louis,MO"
204,Kemmer-Buckridge,misc_pos,7.52,Counsellor,1,0,37,"Kansas City,MO"
205,Boyer PLC,shopping_net,1039.27,Counsellor,1,1,37,"Kansas City,MO"
206,Wilkinson PLC,kids_pets,19.58,Counsellor,1,17,37,"Kansas City,MO"
207,Dare-Gibson,health_fitness,20.63,Counsellor,1,22,37,"Kansas City,MO"
208,Bahringer-Streich,food_dining,118.06,Counsellor,1,22,37,"Kansas City,MO"
209,Strosin-Cruickshank,grocery_pos,363.36,Counsellor,1,0,37,"Kansas City,MO"
210,"""Roob, Conn and Tremblay""",shopping_pos,738.87,Counsellor,1,0,37,"Kansas City,MO"
211,Schuppe-Schuppe,food_dining,120.36,Counsellor,1,1,37,"Kansas City,MO"
212,"""Gottlieb, Considine and Schultz""",shopping_net,981.21,Counsellor,1,1,37,"Kansas City,MO"
213,Wolf Inc,grocery_pos,316.98,Land/geomatics surveyor,1,0,39,"Arnold,MO"
214,Barton Inc,grocery_pos,280.25,Land/geomatics surveyor,1,2,39,"Arnold,MO"
215,Bogisich Inc,grocery_pos,285.62,Land/geomatics surveyor,1,8,39,"Arnold,MO"
216,"""Romaguera, Cruickshank and Greenholt""",shopping_net,826.45,Land/geomatics surveyor,1,23,39,"Arnold,MO"
217,"""Ruecker, Beer and Collie""",shopping_net,946.78,Land/geomatics surveyor,1,23,39,"Arnold,MO"
218,Sawayn PLC,shopping_pos,778.43,Land/geomatics surveyor,1,23,39,"Arnold,MO"
219,Mohr-Baye,shopping_net,933.0,Land/geomatics surveyor,1,17,39,"Arnold,MO"
220,Nienow PLC,entertainment,535.49,Land/geomatics surveyor,1,22,39,"Arnold,MO"
221,"""Rowe, Batz and Goodwin""",grocery_pos,272.15,Landscape architect,1,0,84,"Mesa,AZ"
222,"""Stroman, Hudson and Erdman""",gas_transport,10.46,Landscape architect,1,3,84,"Mesa,AZ"
223,Kiehn-Emmerich,grocery_pos,305.28,Landscape architect,1,14,84,"Mesa,AZ"
224,Mohr-Baye,shopping_net,902.9,Landscape architect,1,22,84,"Mesa,AZ"
225,Kassulke PLC,shopping_net,951.95,Landscape architect,1,22,84,"Mesa,AZ"
226,Hamill-Daugherty,misc_net,833.02,Landscape architect,1,23,84,"Mesa,AZ"
227,Kunze Inc,grocery_pos,315.44,Landscape architect,1,23,84,"Mesa,AZ"
228,Bailey-Mo,grocery_pos,355.37,Landscape architect,1,1,84,"Mesa,AZ"
229,Cole PLC,grocery_pos,358.01,"""Buyer, industrial""",1,1,33,"Daly City,CA"
230,"""Nitzsche, Kessler and Wol""",shopping_pos,858.92,"""Buyer, industrial""",1,1,33,"Daly City,CA"
231,Gislason Group,misc_pos,9.0,"""Buyer, industrial""",1,3,33,"Daly City,CA"
232,McGlynn-Jaskolski,misc_pos,7.19,"""Buyer, industrial""",1,10,33,"Daly City,CA"
233,Kuhic Inc,grocery_pos,311.53,Research scientist (physical sciences),1,16,43,"Lonetree,WY"
234,"""Mosciski, Ziemann and Farrell""",shopping_net,956.38,Research scientist (physical sciences),1,22,43,"Lonetree,WY"
235,Hills-Witting,shopping_net,934.88,Research scientist (physical sciences),1,22,43,"Lonetree,WY"
236,"""Baumbach, Feeney and Mo""",shopping_net,951.58,Research scientist (physical sciences),1,22,43,"Lonetree,WY"
237,Doyle Lt,grocery_pos,310.03,Research scientist (physical sciences),1,22,43,"Lonetree,WY"
238,Kozey-Boehm,shopping_net,927.82,Research scientist (physical sciences),1,22,43,"Lonetree,WY"
239,Terry-Huel,shopping_net,870.91,Landscape architect,1,22,84,"Mesa,AZ"
240,Leffler-Goldne,personal_care,17.81,"""Buyer, industrial""",1,22,33,"Daly City,CA"
241,Heathcote LLC,shopping_net,1016.82,Research scientist (physical sciences),1,23,43,"Lonetree,WY"
242,Fisher Inc,shopping_net,973.5,Research scientist (physical sciences),1,23,43,"Lonetree,WY"
243,O'Connell-Ullrich,home,272.25,"""Buyer, industrial""",1,23,33,"Daly City,CA"
244,Stark-Batz,entertainment,463.74,"""Buyer, industrial""",1,0,33,"Daly City,CA"
245,Medhurst PLC,shopping_net,898.86,"""Buyer, industrial""",1,0,33,"Daly City,CA"
246,Rempel Inc,shopping_net,1086.61,Airline pilot,1,0,39,"Napa,CA"
247,Ledner-Pfannerstill,gas_transport,7.52,Research scientist (physical sciences),1,0,43,"Lonetree,WY"
248,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,797.81,"""Buyer, industrial""",1,1,33,"Daly City,CA"
249,Cole PLC,grocery_pos,278.4,Research scientist (physical sciences),1,1,43,"Lonetree,WY"
250,Klein Group,entertainment,513.6,"""Buyer, industrial""",1,1,33,"Daly City,CA"
251,Koepp-Parke,grocery_pos,312.3,Research scientist (physical sciences),1,1,43,"Lonetree,WY"
252,Fisher-Schowalte,shopping_net,910.76,"""Buyer, industrial""",1,2,33,"Daly City,CA"
253,Friesen-Stamm,gas_transport,7.82,Research scientist (physical sciences),1,3,43,"Lonetree,WY"
254,"""Zboncak, Rowe and Murazik""",shopping_net,1050.98,Research scientist (physical sciences),1,21,43,"Lonetree,WY"
255,Crooks and Sons,personal_care,23.07,Airline pilot,1,22,39,"Napa,CA"
256,Leffler-Goldne,personal_care,20.68,Airline pilot,1,22,39,"Napa,CA"
257,Block-Hauck,travel,8.98,Airline pilot,1,23,39,"Napa,CA"
258,"""Reichert, Huels and Hoppe""",shopping_net,1101.74,Research scientist (physical sciences),1,23,43,"Lonetree,WY"
259,Kiehn Inc,grocery_pos,381.39,Airline pilot,1,1,39,"Napa,CA"
260,Kiehn-Emmerich,grocery_pos,348.72,Airline pilot,1,9,39,"Napa,CA"
261,Kiehn Inc,grocery_pos,302.1,Careers information officer,1,0,28,"Kaktovik,AK"
262,"""Jenkins, Hauck and Friesen""",gas_transport,8.1,Careers information officer,1,1,28,"Kaktovik,AK"
263,Kiehn-Emmerich,grocery_pos,282.17,Careers information officer,1,1,28,"Kaktovik,AK"
264,Jacobi and Sons,shopping_pos,1154.81,Careers information officer,1,18,28,"Kaktovik,AK"
265,"""Stanton, Jakubowski and Baumbach""",shopping_net,977.1,Careers information officer,1,22,28,"Kaktovik,AK"
266,"""Altenwerth, Cartwright and Koss""",shopping_net,1099.67,Careers information officer,1,22,28,"Kaktovik,AK"
267,"""Moore, Dibbert and Koepp""",misc_net,805.96,Careers information officer,1,23,28,"Kaktovik,AK"
268,"""Greenholt, Jacobi and Gleason""",gas_transport,9.94,Careers information officer,1,1,28,"Kaktovik,AK"
269,"""Huel, Hammes and Witting""",grocery_pos,318.37,Careers information officer,1,3,28,"Kaktovik,AK"
270,Terry-Huel,shopping_net,1136.04,Careers information officer,1,22,28,"Kaktovik,AK"
271,Cormier LLC,shopping_net,973.84,Careers information officer,1,22,28,"Kaktovik,AK"
272,Kerluke PLC,misc_net,739.18,Careers information officer,1,22,28,"Kaktovik,AK"
273,Erdman-Kertzmann,gas_transport,9.91,"""Pilot, airline""",1,1,25,"Coulee Dam,WA"
274,Kuvalis Lt,gas_transport,8.78,"""Pilot, airline""",1,1,25,"Coulee Dam,WA"
275,Lockman Lt,grocery_pos,295.16,"""Pilot, airline""",1,1,25,"Coulee Dam,WA"
276,Kunze Inc,grocery_pos,269.76,"""Pilot, airline""",1,2,25,"Coulee Dam,WA"
277,"""Casper, Hand and Zul""",grocery_pos,307.86,"""Pilot, airline""",1,5,25,"Coulee Dam,WA"
278,Bednar Group,misc_net,1054.8,"""Pilot, airline""",1,12,25,"Coulee Dam,WA"
279,Pouros-Conroy,shopping_pos,1194.56,"""Pilot, airline""",1,20,25,"Coulee Dam,WA"
280,Pagac LLC,shopping_pos,1256.43,"""Pilot, airline""",1,23,25,"Coulee Dam,WA"
281,Kris-Weimann,misc_net,708.06,"""Pilot, airline""",1,23,25,"Coulee Dam,WA"
